Movie Title,tmdb_popularity,imdbRating,Unnamed: 3,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Revenue-Worldwide,Profit,Verdict
Intimate Strangers,2.791,6.6,,41.25,1.164,,8.4862,81.95488722,464000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39576060,84.29323276,hit
Aftershock,17.804,4.8,,60.625,,0.6475,6.042,33.41985724,2000000.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100293273,49.1466365,hit
The Eleventh Chapter,1.342,6.8,,12.5,,,7.325,15.78947368,200000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8845525,43.227625,hit
Spanish Affair,0.948,5.3,,29.75,,0.6,2.5464,53.84615385,3000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78768613,25.25620433,hit
Gantz,40.465,6.4,,46.625,5.113,1.553,5.7664,38.75,1638000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,40568961,23.76737546,hit
Gantz: Perfect Answer,34.458,6.2,,26.0,5.113,1.553,7.3506,93.36492891,1638000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,33672515,19.55709096,hit
Hostage: Missing Celebrity,3.924,6.2,,41.625,,,6.912,-51.11111111,640000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13125970,19.50932813,hit
My Mom is a Character 3,5.85,7.0,,,,,1.8408,33.33333333,2000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39273021,18.6365105,hit
My Mom Is a Character 2,5.414,6.6,,,,,1.5168,25.0,2000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39195565,18.5977825,hit
Miss Granny,2.552,8.0,,52.25,1.4,1.259666667,3.4556,55.25484889,3200000.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,58940254,17.41882938,hit
End Game,11.142,5.1,,,,1.3165,12.6874,,5000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91824961,17.3649922,hit
You Are the Apple of My Eye,30.862,6.1,,55.375,,,5.3646,88.5209713,1700000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29843025,16.55472059,hit
Finding Mr. Right,6.002,6.5,,,0.811,1.193,10.761,58.62068966,4881000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84112033,16.23254108,hit
Hindi Medium,7.405,7.9,,37.5,0.609,0.7425,2.61,78.17697937,3213790.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52390000,15.30162518,hit
Capernaum,25.742,8.4,,75.625,,,2.4434,48.70775348,4000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64978931,15.24473275,hit
Coming Home,10.774,7.4,,80.25,1.38,,10.9954,32.1549966,3000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47587984,14.86266133,hit
Sinkhole,441.784,6.2,,65.25,,,9.4128,3.08056872,1200000.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18804231,14.6701925,hit
Suck Me Shakespeer,12.875,6.9,,,,,11.3846,,5000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77676735,14.535347,hit
Suck Me Shakespeer 2,5.471,5.9,,,,,9.157,,5400000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83027924,14.37554148,hit
Friends: Naki on the Monster Island,7.139,6.3,,,,,4.8526,100.0,1490000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22537428,14.1257906,hit
Jian Bing Man,4.72,5.6,,35.5,6.331,,7.0572,53.84615385,12880000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186683536,13.49406335,hit
Andhadhun,14.996,8.2,,18.5,0.6,0.6,2.7914,79.07339927,4500000.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62475342,12.88340933,hit
Conquest 1453,8.236,6.8,,64.125,1.35,1.35,5.2306,17.94871795,2581561.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35797045,12.86643391,hit
Hard Hit,6.489,6.2,,80.75,2.486,,9.3408,-18.69510665,560000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7633895,12.63195536,hit
We Are the Nobles,47.461,7.3,,,,,7.7846,,2000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26433651,12.2168255,hit
Klassikokkutulek 2: Pulmad ja matused,0.6,5.4,,,,,0.8758,,465000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5543147,10.92074624,hit
Suck Me Shakespeer 3,10.842,5.4,,,,,7.8822,,5400000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64236772,10.89569852,hit
What a Beautiful Day,6.785,6.3,,,,,2.1728,,6000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60661950,9.110325,hit
Son of a Rich,23.59,6.7,,,,,6.5458,,2601900.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24579050,8.446577501,hit
Spanish Affair 2,10.161,5.3,,,,,6.2246,45.94594595,4500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40591862,8.020413778,hit
Kokowääh,9.854,6.3,,,14.277,,5.3554,,5650000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50447784,7.928811327,hit
Sole a catinelle,7.362,6.3,,36.0,,,2.2304,59.09090909,8000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69903094,7.73788675,hit
Cold Eyes,35.777,7.1,,70.5,,,12.5704,79.2971246,4500000.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37795598,7.399021778,hit
Look Who's Back,24.052,7.0,,28.5,1.991,0.824,6.7962,58.75118259,3196621.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25513752,6.981475439,hit
The Left Ear,3.975,5.5,,54.0,9.943,,8.4754,40.73071719,10000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78015473,6.8015473,hit
The Invisible Guest,59.794,8.1,,31.0,7.593,2.129833333,6.7664,100.0,4000000.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31191910,6.7979775,hit
Doraemon: Great Adventure in the Antarctic Kachi Kochi,50.175,6.8,,20.5,,,8.4048,100.0,8000000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61153455,6.644181875,hit
The White Storm 2: Drug Lords,6.944,6.0,,44.75,7.177,26.841,10.2102,43.75,25000000.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189396380,6.5758552,hit
Quo vado?,8.662,6.6,,16.5,2.143,1.708,2.3282,25.71428571,11089000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75878701,5.842700063,hit
Wolf Warrior,25.646,5.3,,67.625,35.249,,10.3184,43.85964912,12000000.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81411331,5.784277583,hit
How Not to Rescue a Princess,5.036,6.4,,,,,2.3454,,3000000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20157447,5.719149,hit
The Bélier Family,16.43,7.3,,,2.841,1.902,5.271,,11000000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72751538,5.613776182,hit
Hanson and the Beast,5.597,5.2,,69.0,0.6,,9.43,96.42857143,7000000.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,46154323,5.593474714,hit
"Love, Sex & Pandemic",1.243,2.5,,,,,3.0008,,260000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1712634,5.587053846,hit
Gongjo,14.268,6.6,,12.5,,,10.948,100.0,8520000.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56100000,5.584507042,hit
Vakeel Saab,3.447,8.0,,19.5,0.6,1.16,4.5752,29.0617849,2000000.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13056490,5.528245,hit
L Storm,5.119,5.7,,39.0,8.529,,5.9744,70.0,10000000.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64517456,5.4517456,hit
